gene	lowMean	highMean	logFC	pValue	fdr
BIRC7	1.21348764940239	2.7056182	1.1567988443867	3.77097716294419e-15	1.96426984855841e-13
GLOD5	0.406405179282869	1.1106402	1.45040082758366	7.97195632765588e-38	1.80059027037592e-35
F11	0.063898406374502	0.4743854	2.89220775329048	9.55302854386023e-41	2.64707527012243e-38
CLDN9	2.43734422310757	5.669787	1.21798452218405	9.70825715170232e-10	2.66808318735639e-08
HABP2	0.723403984063745	2.8144788	1.95999433257359	9.06428577563066e-37	1.93357042124921e-34
AC104809.1	0.0802613545816733	0.1615598	1.00929085520259	2.04793386224463e-07	3.65743298002732e-06
LBHD2	2.41771752988048	1.1510194	-1.07073354973109	0.00131549067122796	0.0074158414996283
MLPH	6.01760119521912	18.965614	1.65612567559373	4.50136632420843e-34	8.40192528208848e-32
RP1	0.140059760956175	0.4251588	1.60195926902	9.68297787409223e-10	2.66385956294627e-08
AC015921.1	0.0597187250996016	0.1306174	1.12909182447618	4.77195116836974e-06	6.167262042888e-05
AC008496.3	0.0718223107569721	0.4974652	2.7920916309246	7.51448050588024e-11	2.4073207036597e-09
PGM5P4	0.195886454183267	0.4564128	1.2203216155541	2.06277753455446e-12	8.15343155496394e-11
MAP1LC3C	0.585564940239044	1.8214918	1.6372194180939	4.12093145476541e-12	1.5755675055645e-10
HHIP	0.651437848605578	2.8557276	2.13215892320781	2.63981705251801e-29	3.56547752450146e-27
CST4	4.75595537848606	1.6397788	-1.53623396560894	0.000290244471939958	0.00214672287198739
CDKL2	1.03607131474104	2.6484468	1.35402321929685	6.25212206480234e-34	1.14316011467862e-31
CTSE	8.8916984063745	92.9234636	3.38551200954489	1.88158815999454e-61	2.66175402970175e-58
WFDC3	1.79157450199203	3.7742054	1.07494490073933	8.11586306382292e-17	4.91302178895118e-15
SLC26A4-AS1	0.118158167330677	0.3606874	1.61002967116424	5.42335670893951e-20	4.23747039601384e-18
LINC02478	0.672115139442231	2.33363	1.79579553196317	2.62970527175822e-35	5.3546377495695e-33
MYBPH	0.327588844621514	1.4270656	2.1230935199459	5.32526043352926e-32	8.4195499960235e-30
DES	3.16300916334661	9.399456	1.57127952683706	2.23147237438532e-17	1.42464404937598e-15
HOPX	13.486812749004	34.2304526	1.34373092219357	1.54338890898951e-26	1.90289940806514e-24
AWAT2	0.0879462151394422	0.2220632	1.33627693510416	4.99796605631415e-22	4.46296782928943e-20
SLC5A9	0.314651792828685	0.7891488	1.32654119384895	2.06889712697343e-22	1.93082697843027e-20
ARHGEF38	0.468697211155378	1.6065872	1.77727117181109	7.71523085445242e-48	3.24015585790581e-45
FRMPD2	0.0877099601593626	0.1836488	1.06613688271418	4.6425117825458e-06	6.02808848750077e-05
MUC21	1.12043227091633	5.748947	2.35924228857517	7.89461326159783e-33	1.30178782359035e-30
TUBA4B	1.06630039840637	2.3977952	1.16909450908165	3.42802591621696e-06	4.61153556436834e-05
ROR1-AS1	0.118360956175299	0.2667776	1.17244427915843	1.40462531674745e-24	1.52848256127684e-22
ASB4	0.331542629482072	1.0969664	1.72625304884096	3.76533497713702e-09	9.42315395861162e-08
AC008268.1	0.0427585657370518	0.800787	4.2271331873645	6.38917309988827e-36	1.33122631456432e-33
PGM5P3-AS1	0.0290338645418327	0.1063776	1.87338587434204	5.51597027319853e-13	2.34585837030111e-11
TCF21	0.588431474103586	1.6758316	1.50993086277303	1.51736853141958e-20	1.23963013335853e-18
AL117382.1	0.129216334661355	0.691339	2.41960485625836	4.2386239880351e-34	8.02293912326813e-32
AC011899.1	0.0190286852589641	0.0509614	1.42122902600199	8.61960136426893e-08	1.65484032477729e-06
LINC02618	0.0434872509960159	0.0880446	1.01764200947115	2.02040459143225e-05	0.000218528911905497
RASGRF1	0.80887609561753	2.5094654	1.63338942330581	7.327000800265e-39	1.77419033792363e-36
CFTR	1.54633266932271	3.4632632	1.16328130723168	1.12725523169271e-39	2.83162300162959e-37
LMO3	1.35876772908367	9.4429988	2.79694622747324	3.80929017575155e-63	9.90103682269647e-60
SUPT20HL1	0.0166525896414343	0.0540596	1.69880428905623	0.00673387780141856	0.0268974836597604
UNC13C	0.038297609561753	0.1368132	1.83688118016357	4.5626388769785e-12	1.7296841711626e-10
LINC01645	0.0294478087649402	0.0874398	1.57012981519967	7.6291101213985e-09	1.80984308775771e-07
LINC01612	0.234907171314741	0.6963404	1.56770197050003	4.16539298643901e-32	6.70403788559926e-30
NLRP12	0.190075298804781	0.4968204	1.38615335440377	9.55330926548788e-13	3.9322181690319e-11
NFE2	1.28539402390438	2.605288	1.01923219309955	5.69780279153849e-35	1.12607017228656e-32
FAM107A	2.05114980079681	7.2463372	1.82081908208321	9.05954810649529e-22	7.95759915053531e-20
ABBA01000935.2	0.299308764940239	1.0197412	1.76849662488071	4.70512554654033e-15	2.43669295645301e-13
SLC10A2	0.0115784860557769	0.0753998	2.70311407055294	1.42735958555586e-16	8.41328310100228e-15
LRCOL1	0.193019521912351	0.4060724	1.07299020480978	1.51893707460287e-11	5.27467579989353e-10
KCNK5	5.4419203187251	12.5543852	1.20600364247762	2.05244264000567e-26	2.4849348323456e-24
IYD	0.200200398406374	0.4255464	1.08787160140593	3.39008671678458e-12	1.31106116221203e-10
MBL3P	0.0481768924302789	0.2256174	2.2274650920739	3.25578408746478e-22	2.98665408542247e-20
CHRNA2	0.0669342629482072	0.2979512	2.15425925238353	0.0111430163913646	0.0396585911846989
TDRD10	0.675688446215139	1.6128876	1.25521581109144	3.88618179029229e-20	3.08120336753617e-18
ABCC6P1	0.162391633466135	0.519887	1.67872077470419	5.79080301749763e-43	1.76869549436706e-40
LPCAT1	52.8726505976096	135.6453332	1.35924585492978	3.64773580107205e-30	5.18750491329178e-28
LINC02861	0.335182868525896	0.7708758	1.20155002482229	3.05707456753335e-12	1.18397766896486e-10
AC051635.1	0.357011553784861	0.9310762	1.38292847967763	1.4180394607551e-22	1.33733560091844e-20
AC091849.2	0.470809561752988	3.4233346	2.86218678390327	2.78299935176022e-44	9.12212885080624e-42
LYVE1	2.80793705179283	6.591163	1.23102245515773	2.46720407328877e-23	2.47438474186028e-21
CNGA3	0.0578561752988048	0.1708192	1.56192728311934	1.23552198566819e-08	2.81665478632652e-07
KCNQ1	7.33972509960159	15.0591632	1.03684367046501	1.58493105620963e-25	1.80507529359332e-23
MCEMP1	2.11457051792829	7.0129152	1.72964961008025	1.18140021063608e-19	9.04663101466568e-18
DPYD-AS1	0.0594932270916335	0.2823188	2.24652786140522	7.44142231895971e-10	2.0812752246514e-08
FHL5	0.965951792828685	2.3694444	1.29452571166523	3.13433822471225e-22	2.89500834377374e-20
ATP8A1	2.56654900398406	6.0108498	1.22773916356029	3.86208400889719e-27	4.91967270100183e-25
WFDC2	170.034625896414	349.4859942	1.03940607305878	4.412843642758e-26	5.2250401511035e-24
OR5G5P	0.0157549800796813	0.0842126	2.41822817713329	2.123341773127e-19	1.59416704408122e-17
CUX2	0.109990438247012	0.2955106	1.42583176897834	5.72342498156903e-09	1.38839545717159e-07
SLC30A2	0.266308764940239	0.5815644	1.12683904621872	8.16579383387744e-07	1.26867171483791e-05
VWA5B1	0.0224043824701195	0.0681262	1.60442877499189	0.00266749599161366	0.0130429247339625
CDH15	0.329498804780877	0.7247484	1.13720701127415	1.04647812206487e-17	6.89393111883813e-16
DMBT1	5.34801553784861	45.4668232	3.08773864337045	2.58429434296865e-51	1.31057855377946e-48
MBL1P	0.42713984063745	1.1921374	1.48077014950552	9.90542199142748e-26	1.14757729433443e-23
LINC02555	0.13396812749004	1.3772892	3.36186981165257	2.79662534612537e-51	1.39199437135477e-48
PON1	0.255512749003984	0.9559004	1.90346502715972	3.47275248249319e-12	1.33917706204379e-10
ARHGAP20	1.15223665338645	2.3311382	1.01659747951822	3.65012922589748e-13	1.59008384657492e-11
ARHGEF2-AS1	0.200860956175299	0.509937	1.34412186393513	7.74331124870213e-09	1.83369797130058e-07
MYH2	0.029298406374502	0.0795252	1.44058990063655	1.95922751211555e-05	0.000212682217571251
AC132154.1	0.0297219123505976	0.0664362	1.1604426128378	2.85133819202961e-10	8.43105257704861e-09
LINC00689	0.0787513944223108	0.1893736	1.26585784896257	1.6684442922884e-12	6.70320563350189e-11
RORC	1.58560438247012	5.2658928	1.73164529700778	9.46664951997925e-42	2.79609456920882e-39
OTX2	3.27853386454183	1.0147182	-1.69197166830003	0.00143826122225378	0.00799701802476978
LINC00824	0.0529147410358566	0.1399608	1.40328122527634	0.00475457898779444	0.0204542947172717
BCRP3	0.117466135458167	0.2517722	1.09987409403944	3.00602967192497e-13	1.32888265661183e-11
HP	2.74838804780876	32.7162942	3.57335172306338	3.02825870903962e-53	1.84985312685379e-50
WFDC13	0.0717115537848606	0.2542232	1.82581821224488	7.60992529045409e-09	1.80688667806383e-07
SCG5	6.75425099601594	14.8949012	1.14095085629645	0.0135788029817771	0.0461696478866799
TNR	0.0724266932270916	0.244218	1.75357612452261	1.18650259737305e-09	3.20188923817197e-08
IGFALS	0.362451792828685	1.2297864	1.76254672724967	1.72173703342525e-32	2.82175902343926e-30
RBP2	0.584430677290837	1.2875234	1.13949483909048	5.50388463859306e-13	2.34442807157059e-11
GFRA3	6.01402908366534	16.477274	1.45407383294176	2.21492638228807e-06	3.13660649647728e-05
SLC22A3	6.75913545816733	13.9278334	1.0430602187856	1.90903588624214e-33	3.33188743833872e-31
AL136452.1	0.108069721115538	0.8843782	3.03270109644052	4.59046988958317e-46	1.64510199589622e-43
MMP24	1.25476613545817	2.955485	1.23597640016844	1.48919807267693e-24	1.613978459573e-22
SBK2	0.0735697211155378	0.2724664	1.88889430306869	5.42872668448448e-08	1.0962683382838e-06
PADI4	0.226920717131474	0.6417798	1.49989005311186	1.71634407535967e-05	0.000189297891085421
ANKRD66	0.207017529880478	0.4414666	1.09255135437285	4.9656790048749e-09	1.21444513460444e-07
AC106738.2	0.0599358565737052	0.1469292	1.29362988119061	5.77991627825609e-13	2.45422732586046e-11
TMPRSS6	0.749398007968127	1.65226	1.14063667958569	4.74139236442748e-05	0.000455954003474354
LINC00891	0.0501844621513944	0.1068622	1.09043896492753	1.19017522974369e-13	5.42195420763574e-12
SLC1A7	0.477783266932271	1.3276172	1.47441099224902	1.44829842090397e-06	2.13300629901682e-05
VSIG1	1.51516733067729	5.579362	1.88062302977478	1.70303806660428e-08	3.79239910142418e-07
ACKR1	7.76174860557769	21.1037376	1.44304491990664	4.9108513299062e-18	3.31642869460349e-16
LRRN3	0.61629203187251	1.2561394	1.02731053258577	2.71432537374884e-07	4.69469996110819e-06
BX322234.2	0.623730278884462	0.208575	-1.58035605060667	0.00241251318516882	0.0120392739307404
PIFO	2.54090756972112	5.2644548	1.05094023430176	6.36939179799673e-16	3.52256199066988e-14
DDIT4L	1.84998645418327	3.7339186	1.01317576973426	3.49968988122194e-10	1.01581711260781e-08
LINC00469	0.0268784860557769	0.127335	2.24410523586406	1.22241821920074e-20	1.01095867371315e-18
KRT2	1.31518725099602	0.5426894	-1.27706958433454	0.00105865128382035	0.0062222674844792
NDNF	4.59239163346614	22.7331174	2.30747795135836	1.95549776184861e-46	7.29998178374541e-44
ERBB4	0.206306374501992	0.474926	1.20291434059575	2.4368534552981e-30	3.52138425653238e-28
KCNK17	0.959872509960159	2.6106304	1.44348351730026	6.87384751922737e-30	9.52346771246357e-28
FOXA2	2.9417780876494	7.4550338	1.34152647215539	1.57099725731997e-46	6.20959768856561e-44
PTGDS	0.974325498007968	2.013549	1.04726485428643	2.53389628910953e-08	5.42245736136035e-07
IDO2	0.302124302788845	0.771529	1.35257814670986	0.00343115301571838	0.0158602951595235
GGTLC2	0.0279175298804781	0.1635788	2.55074258159824	4.25782538902075e-33	7.15261442538123e-31
CADM3	0.815234262948207	1.9440336	1.25376656222018	9.6208154981296e-14	4.41276926550729e-12
ALPP	1.06950039840637	2.7863054	1.38141637688807	7.14568301814338e-33	1.18556585284974e-30
AC092448.1	0.105741434262948	0.2747168	1.37740433902976	0.000155674530229378	0.00126794546166825
HHIP-AS1	1.33392589641434	2.9144972	1.12756849291627	2.04300124088481e-19	1.53814530399165e-17
A2M	152.883670916335	329.2202398	1.10661870783869	9.05978993334399e-19	6.47630409118138e-17
C8B	0.0975741035856574	1.0293284	3.39906122350174	6.71991809813611e-26	7.85295472355228e-24
Z98257.1	0.442203585657371	1.291673	1.54645825493918	8.25175741050756e-07	1.28128674569395e-05
MUC6	0.908482470119522	1.972842	1.11874483692657	0.000364595455480395	0.00258701073189072
PLIN5	0.706037450199203	1.4172924	1.00532081453845	9.09550933638098e-21	7.6396593732265e-19
LPAR4	0.407645418326693	0.1978058	-1.04323007116891	0.000282610773725133	0.00210066713943145
ELANE	0.171443027888446	0.392294	1.19420603499792	9.27493586577466e-11	2.92252902931174e-09
AL162718.2	0.0293665338645418	0.110847	1.91632482579832	8.66462247061384e-06	0.000103597741443576
AC012653.2	0.140823107569721	0.290785	1.0460687662027	7.57458543837787e-05	0.00068387540279718
AC112722.1	0.304954581673307	0.6161378	1.01465865629629	4.29781291884266e-08	8.83830264978217e-07
GGTLC1	0.231527490039841	4.1631306	4.16841341261339	5.99096322268852e-59	6.70937956247592e-56
TMEM213	0.76488406374502	1.6249956	1.08712281679869	0.000334453881222905	0.00241133353527608
NR1H4	0.0559227091633466	0.146769	1.39204112113654	4.25572722142544e-06	5.58795487334993e-05
AC130466.1	0.0263406374501992	0.0849238	1.68887866790605	6.66066990083094e-10	1.87461241460245e-08
COL4A3	0.68129561752988	2.2119978	1.69899711900719	1.76458967749883e-33	3.09991119946494e-31
C18orf63	0.0121135458167331	0.0436492	1.84933398711627	1.58115636861666e-16	9.25889343696701e-15
LINC02866	1.72477131474104	4.3242968	1.32606045702509	5.90191375501027e-06	7.43005329775953e-05
TTC29	0.373309163346614	0.80128	1.10193554552904	4.28851251435191e-06	5.62002142178209e-05
SPDEF	5.1359577689243	14.1002706	1.45701760494949	1.41994748695495e-19	1.08117134714944e-17
AC025271.4	0.0859091633466135	0.1909946	1.15264792228849	1.37531364691827e-09	3.68551148572974e-08
FAM81B	0.84034780876494	1.878349	1.16040667388467	6.17697129792381e-15	3.16237399134469e-13
SNTN	1.09756494023904	2.2902308	1.0611866914647	0.000192082944192504	0.00151401917126279
AC004947.2	0.0810561752988048	0.2118338	1.38593879537703	2.01731594355767e-06	2.87792264394758e-05
AC013457.1	0.418592430278884	1.9431272	2.21476221737536	0.000146935673977019	0.00120848746791748
AC064805.2	0.0148721115537849	0.0374004	1.3304442030444	1.67655559108626e-08	3.74895683670686e-07
AC087392.2	0.191456972111554	0.61369	1.68048987669968	0.0119377311427144	0.0418880336362765
CYP2B7P	4.60672071713147	19.5638766	2.08638022776958	3.74212873831634e-49	1.70476163099096e-46
AL163541.1	0.0550250996015936	0.186201	1.75869906429811	0.000518704579007734	0.00345691586277458
FLRT3	8.01182589641434	20.444675	1.3515221535079	3.44124443127194e-32	5.57191372432092e-30
LTF	89.6913438247012	224.4685958	1.32347295788916	8.47981320367592e-27	1.06009497343442e-24
SHISA3	1.53775896414343	4.5168602	1.55449087609216	1.1483537975041e-21	1.00538936056401e-19
ST3GAL5	2.30370079681275	4.8375438	1.07032137110165	4.28559208906072e-27	5.43340302687613e-25
TRPA1	6.77120079681275	2.0493406	-1.72425192243075	0.000126183238402976	0.00106318278426181
NFE4	2.07429003984064	4.7466782	1.19430061124612	0.000350450676502145	0.00250983567360103
C6orf118	0.504488047808765	1.1705024	1.21423589763974	1.24232794058948e-05	0.00014257596237047
AC092569.1	0.960439442231076	2.0554204	1.09766694506816	1.3903622274844e-12	5.62803553468761e-11
LRRC36	0.474314342629482	1.250763	1.3988930479316	6.19828510329719e-29	8.2884331843991e-27
GPA33	0.30800438247012	0.8276626	1.42609188851756	3.78775585231869e-09	9.47044667894156e-08
AC008397.2	0.01510796812749	0.041945	1.47318920098604	1.54842424746495e-16	9.0870189789002e-15
TNNC2	2.67897171314741	6.9422192	1.37371757079852	0.00110529157019892	0.00645686303495035
AC019117.1	1.40524741035857	4.0469682	1.52601735647389	2.55475229400769e-41	7.38350883422997e-39
PTCSC3	0.329322709163347	0.9951588	1.59542475897666	3.10125018967113e-23	3.08723713325854e-21
MARCOL	0.219005577689243	0.054855	-1.99727258070214	0.0119541297948747	0.041934625505957
AL050338.2	0.0148932270916335	0.0325422	1.12765539343358	0.000143015952559378	0.0011820365230292
ATP13A4-AS1	0.15976374501992	3.9906834	4.64262386589199	3.20956939401762e-48	1.36931438368898e-45
AC046195.1	0.247726294820717	0.5557134	1.16559401755688	4.71416807018079e-49	2.11179015650532e-46
C11orf96	13.7143330677291	29.0683562	1.08376502496295	5.94547454035845e-19	4.27279317368327e-17
AC097468.1	0.0744709163346614	0.2212034	1.57062454608837	1.65107436524284e-20	1.34477505421203e-18
SEC14L6	0.817049402390438	2.5929834	1.66611775245203	4.30842931954621e-39	1.07224040047003e-36
VEGFD	1.70537250996016	4.8824328	1.51751328137315	5.95437969329466e-15	3.07181991163865e-13
C1QL2	0.726135856573705	1.4820646	1.0292969329953	3.79973776045035e-06	5.0528589787099e-05
AC092675.1	0.0287286852589641	0.074664	1.3779208298953	3.54186852924602e-08	7.4084313096556e-07
AC092071.1	0.280793625498008	1.567603	2.48097814956397	9.76431241746714e-30	1.34587276490606e-27
NPY4R	0.0948	0.2325798	1.29476683719522	4.67070039514447e-18	3.16219358238522e-16
KIAA0408	0.00419163346613546	0.0157352	1.90841104367255	5.95721729625161e-12	2.22077789859432e-10
SFTPD	4.49681354581673	74.1931576	4.04431117067866	5.96700781588472e-68	3.20762472150699e-64
FGB	2.38214661354582	18.1096332	2.92642321130461	1.4902866301537e-07	2.73272423652258e-06
AC119424.1	0.154006772908367	0.3128458	1.02245793663432	1.66251682810728e-05	0.000184116717370694
NKX2-1-AS1	0.16593984063745	2.8842948	4.1194864172152	6.56915133357479e-75	8.82828247719116e-71
AP000357.2	0.342935458167331	3.2225452	3.23219160818128	4.92188068176325e-43	1.520578263959e-40
AL590226.1	0.205205179282869	0.558694	1.44499118244162	7.15218916339735e-18	4.77013747726536e-16
MYRFL	0.172507569721116	0.403738	1.2267597108253	6.30221901646565e-08	1.25567859692041e-06
AC120498.2	1.08528446215139	2.3084936	1.08887849801289	5.65372938386012e-07	9.10490942956215e-06
HID1-AS1	0.163813147410359	0.4173272	1.34912780345506	1.41674684347836e-14	7.02570510313863e-13
AMY1B	0.0193390438247012	0.0492846	1.3496204511152	1.64185231275436e-14	8.09719384627737e-13
YWHAEP7	0.0552490039840637	0.1125932	1.02709933804463	0.00250180656014063	0.012394293926076
FAM237B	0.0887362549800797	0.2678126	1.59362826578585	0.000169812679355479	0.00136530816503636
GPR39	1.1012219123506	2.4568026	1.1576767218232	3.84781478937348e-19	2.81802631904034e-17
AC011944.1	0.212319920318725	0.439131	1.04841164923415	1.41593437315098e-20	1.16383743368661e-18
DNAAF6	0.302913944223108	0.6911332	1.19005579151238	4.69309828246523e-07	7.75775495916977e-06
CXCL2	15.8482143426295	66.3270566	2.06527720721089	3.67681860351785e-40	9.59471169178182e-38
KCNE5	0.319054581673307	0.9955142	1.64163864318035	0.00224162360559738	0.0113658478157416
PCDHB1	0.0336693227091633	0.0744852	1.14551909434041	0.000323466606484237	0.00234786266515888
RHOBTB2	6.52160876494024	16.3972442	1.33015356823461	3.6267716130805e-38	8.47655368838067e-36
AC073592.2	0.141041035856574	0.3041774	1.10879799112313	4.49242550859083e-05	0.000434969066354122
FOXN1	17.0166697211155	7.886815	-1.10943401226647	9.46566824031817e-08	1.80310834937528e-06
SCGB1A1	28.0307139442231	181.0577182	2.69136928240608	1.04316161243768e-23	1.07425662142145e-21
ORM2	3.13300836653386	6.3908154	1.02845139308725	5.69483498683835e-52	3.12379132196411e-49
AP002358.1	0.0613537848605578	0.1911622	1.63957302579933	2.72014979571084e-17	1.72028673433214e-15
AC093627.22	0.0598569721115538	0.1396738	1.22247021900863	6.6334240486904e-12	2.46133447437685e-10
NAPSA	6.32395976095617	132.7672844	4.3919276933463	2.95230249022889e-70	1.9837996583093e-66
SELENBP1	17.0804115537849	50.4632788	1.56289120977505	8.42914330260754e-40	2.13734446874986e-37
ANKRD44-AS1	1.16926374501992	2.3557472	1.01058434081267	8.09956235769967e-06	9.75795773421119e-05
SLC4A1	0.0842561752988048	0.2076348	1.30119392927639	0.000259676464473823	0.00195233119220347
LINC02347	0.0200521912350598	0.0440134	1.13418292498931	3.46857307931841e-11	1.16100008998655e-09
SFTPB	131.452560956175	2218.8099466	4.07717194408251	6.19299668865098e-71	5.54851216658537e-67
GPD1	0.892132669322709	2.5006184	1.48695474096892	6.08769346058293e-13	2.5767720446228e-11
INMT	3.89315139442231	12.2055662	1.64852886787173	2.85587343455012e-24	3.04603834023167e-22
NDUFB4P11	0.720946215139442	0.3558216	-1.01873754242552	0.00516790637871351	0.0218366589603933
MIR126	0.6799203187251	1.9565358	1.52486391945145	3.22419833474609e-07	5.48828390381921e-06
MIR3189	1.84575298804781	3.8447872	1.05869425652715	3.54299724532025e-16	2.01755677880758e-14
PNMA2	1.28567729083665	3.2430676	1.33483052933142	3.78793752250894e-25	4.20711507148741e-23
HYDIN	0.119043027888446	0.244236	1.03679273964017	1.00283492659785e-06	1.52801571185357e-05
SFTPA1	71.0382310756972	1915.145241	4.75271433978311	9.46506282948469e-62	1.59001224206806e-58
AGR3	7.95421474103586	52.208562	2.71449500612345	6.29582740357651e-55	4.70053469314804e-52
KNDC1	0.751881673306773	2.2627734	1.58951457455179	2.85333282818984e-32	4.64799271249009e-30
AC073283.2	0.0678243027888446	0.1444134	1.09033039764297	0.000155498468911353	0.00126727951710108
SLC34A2	31.784909561753	310.5091988	3.28822212013646	6.04609312856904e-63	1.35422409258066e-59
SFTPA2	98.7251135458167	2461.9788952	4.64025746248781	3.27935383230254e-62	6.02951019563878e-59
KRT77	4.47575537848606	1.5185636	-1.55942385599271	6.01150152658745e-06	7.54680700754869e-05
DPP4-DT	0.201442629482072	0.4476732	1.15207693358733	2.19838755620192e-12	8.67669026954408e-11
EMCN	2.61452310756972	5.258962	1.00823025127881	3.99230241756888e-19	2.90799740865627e-17
LY6H	0.971003585657371	3.0640116	1.65787323089771	1.79233750386727e-05	0.00019672283169319
AL512662.1	0.0619398406374502	0.322442	2.38010009949061	1.03203610339339e-40	2.83051697826607e-38
PKD2L1	0.662743027888446	1.6387394	1.30606495555426	6.34939561976955e-17	3.88745001066437e-15
PRG4	0.701143824701195	2.1654162	1.626862024436	2.93106240712369e-17	1.84499052409064e-15
SLC6A3	0.671300796812749	2.5035602	1.89894988657247	0.00149338734463425	0.00824722930944717
HSPB6	1.2151390438247	2.4314464	1.00069338296366	2.56032459978171e-10	7.64626717699253e-09
AP002498.1	0.290031474103586	0.749484	1.3696882103736	1.42410483942766e-08	3.2165621742972e-07
ADGRF5	9.65563466135458	30.484624	1.65863875655265	4.74793492584135e-42	1.41794438818626e-39
SLC26A9	2.0369	5.0517442	1.31040643463645	2.40563461000465e-26	2.89949089900022e-24
RETN	1.62758446215139	5.5024078	1.7573306532862	1.71287107186975e-18	1.20205087910483e-16
AL162511.1	0.104281274900398	0.6888692	2.72374994930432	4.06930530792724e-52	2.27864141805142e-49
HSD3B2	0.0175043824701195	0.0810368	2.21086103936502	1.75233245928935e-13	7.91583056147549e-12
NKX2-1	1.15478525896414	26.5613276	4.5236307562452	1.53490998995631e-83	4.12553107100457e-79
CLEC3B	2.8871764940239	8.7895596	1.60613157841	4.37807629029025e-29	5.88369672652107e-27
AC073862.5	0.0239167330677291	0.0785166	1.71497736472339	3.60715401713983e-13	1.57391372845267e-11
SFTA2	3.22600717131474	48.0084438	3.89546662092907	1.38941317767265e-66	4.66808092368569e-63
PRRT1B	0.257405577689243	1.007806	1.9691027299812	2.21337186302526e-31	3.45877958920889e-29
HPN	5.68460677290837	14.0031932	1.30062338710926	2.22876209971689e-25	2.50647145256027e-23
CTXND1	0.160458565737052	0.3989426	1.31398037905316	1.09647746854631e-25	1.26485499569046e-23
MARCO	23.8810494023904	63.593644	1.41301634534721	8.65943809125487e-14	3.99911300716063e-12
AL158152.1	0.0286398406374502	0.1287294	2.16824621256665	2.44428748006216e-22	2.26543306514175e-20
ECEL1P2	0.263359760956175	0.8357416	1.66602201807333	2.4113129475264e-40	6.41695736669451e-38
AC073862.2	0.0411203187250996	0.1690588	2.03960176256965	1.63221867806597e-18	1.14844957144129e-16
SCN1A	0.057496015936255	0.3407632	2.56723564702226	9.68929793661721e-46	3.42669670974207e-43
SFTA1P	0.715251792828685	5.819883	3.02446703632803	3.36493239581002e-62	6.02951019563878e-59
SCNN1B	13.4646685258964	27.2010048	1.01448123142889	4.47513650132027e-22	4.03633284840558e-20
AC003991.1	0.0445713147410359	0.1075382	1.27066180620989	9.98059827278139e-17	5.9745772912209e-15
C1orf141	0.0525581673306773	0.116311	1.14600066894112	0.000100125800422343	0.000872344007699104
AP001972.3	0.0149175298804781	0.030679	1.0402427914379	4.55406176764627e-06	5.92182255398144e-05
AL160412.1	0.262849402390438	0.1278688	-1.03957216540428	0.00492040550617653	0.0210121797259315
CACNA2D2	1.76813227091633	8.600743	2.28223509228555	2.57554524873263e-43	8.14417708181596e-41
AC079467.1	0.147490836653386	1.9627266	3.73416199486229	1.94607987924585e-50	9.17662017445087e-48
AC078925.1	0.0101713147410359	0.0356142	1.80794640989578	3.50436165420462e-14	1.6700395840729e-12
UBXN10	1.77663705179283	4.4121242	1.31232441885236	1.824422969403e-15	9.78779252926424e-14
MC2R	0.0152637450199203	0.0311194	1.02770526808837	1.06114307446496e-05	0.000124222140921033
ROS1	2.4298171314741	16.710299	2.78181790248822	1.14718273427102e-55	9.34362955507166e-53
LSINCT5	0.024603984063745	0.0644018	1.38820906494484	3.90083969211138e-07	6.52437892001056e-06
LINC01765	0.465504780876494	0.9839036	1.07972098666421	2.79911606246273e-05	0.000289364005872589
AC129507.3	0.115926693227092	0.3899146	1.74994537726699	2.5452129249616e-24	2.72550729072183e-22
FOLR1	10.2915717131474	48.6132654	2.23988671935546	4.15379083021943e-59	4.85415608411469e-56
PGC	7.08713784860558	52.2446022	2.88200697313334	6.50806131688116e-55	4.7276668128414e-52
ANKRD63	0.370522310756972	0.1666558	-1.15268888869567	0.0123237196694713	0.0428841192744756
AC133065.2	0.196141832669323	0.4320008	1.13913672108749	1.1457702708674e-09	3.10443682866673e-08
AC010197.1	0.263996812749004	1.112427	2.07511824919343	2.59293812981724e-18	1.78242943870148e-16
AHCYL2	11.9178669322709	24.193415	1.02148838163881	1.40387536394067e-33	2.49889814781439e-31
NUP210L	0.082708764940239	0.1788524	1.11265734771866	9.29906149984658e-08	1.77514328830168e-06
MACROD2	1.01885498007968	4.1319574	2.01987666183831	8.18528689046982e-44	2.61909691716724e-41
TSPAN19	0.441808366533865	1.0309022	1.22241482867735	0.000191969944971583	0.00151357236167387
AC063919.1	0.0299800796812749	0.0616068	1.03908538297776	7.82900824426676e-06	9.47874250402712e-05
AGER	10.8687956175299	94.5665584	3.12113801038309	2.01373804433125e-40	5.41252511555353e-38
R3HDML	0.102176892430279	0.6911978	2.7580296616517	4.6787773461292e-31	7.14523735848072e-29
ACOX2	1.54981115537849	3.6036208	1.21735477425394	3.23295680680805e-30	4.62209643900993e-28
LINGO4	0.08990796812749	0.229672	1.35305409826251	6.4270524401809e-30	8.95058629467265e-28
HHATL	0.0427633466135458	0.4195198	3.29429223653597	4.00417893349743e-05	0.000395386926431095
LINC01543	0.417213147410359	0.0696144	-2.58332695249405	0.0114737431028745	0.0405617870734001
AC133963.1	0.0611705179282869	0.4252058	2.79725287953781	1.635456643559e-47	6.76273902547366e-45
SLC4A4	1.2237219123506	3.5355124	1.53064357269251	6.29942630880639e-34	1.14402689410877e-31
